No.,Time,Source,Destination,Protocol,Length,Info,Type
59,4.256332,00:00:00_00:00:17,IPv6mcast_02,0xffff,64,Ethernet II,DDOS-attack
60,4.258434,00:00:00_00:00:17,IPv6mcast_02,0xffff,64,Ethernet II,DDOS-attack
61,7.909883,fe80::200:ff:fe00:16,ff02::2,ICMPv6,74,Router Solicitation from 00:00:00:00:00:16,DDOS-attack
62,7.912001,fe80::200:ff:fe00:16,ff02::2,ICMPv6,74,Router Solicitation from 00:00:00:00:00:16,DDOS-attack
63,8.414568,00:00:00_00:00:17,IPv6mcast_02,0xffff,64,Ethernet II,DDOS-attack
64,8.41667,00:00:00_00:00:17,IPv6mcast_02,0xffff,64,Ethernet II,DDOS-attack
65,9,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,92,Ethernet II,DDOS-attack
66,9.002147,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,92,Ethernet II,DDOS-attack
67,9.002147,2001:1::200:ff:fe00:17,2001:2::200:ff:fe00:16,TCP,94,[TCP Retransmission] 49153  >  9000 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM=1,DDOS-attack
68,9.004297,2001:1::200:ff:fe00:17,2001:2::200:ff:fe00:16,TCP,94,[TCP Retransmission] 49153  >  9000 [SYN] Seq=0 Win=65535 Len=0 TSval=9000 TSecr=0 WS=4 SACK_PERM=1,DDOS-attack
69,9.004297,2001:2::200:ff:fe00:16,2001:1::200:ff:fe00:17,TCP,78,"9000  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0",DDOS-attack
70,9.006423,00:00:00_00:00:18,00:00:00_00:00:17,0xffff,77,Ethernet II,DDOS-attack
71,9.006423,2001:2::200:ff:fe00:16,2001:1::200:ff:fe00:17,TCP,78,"9000  >  49153 [RST, ACK] Seq=1 Ack=1 Win=65535 Len=0",DDOS-attack
72,9.008546,00:00:00_00:00:18,00:00:00_00:00:17,0xffff,77,Ethernet II,DDOS-attack
73,10,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,88,Ethernet II,DDOS-attack
74,10.00214,00:00:00_00:00:17,00:00:00_00:00:18,0xffff,88,Ethernet II,DDOS-attack
75,10.00214,2001:1::200:ff:fe00:17,2001:2::200:ff:fe00:16,TCP,90,49153  >  9000 [RST] Seq=0 Win=131072 Len=0 TSval=10000 TSecr=0,DDOS-attack
76,10.004284,2001:1::200:ff:fe00:17,2001:2::200:ff:fe00:16,TCP,90,49153  >  9000 [RST] Seq=0 Win=131072 Len=0 TSval=10000 TSecr=0,DDOS-attack
77,15.68182,fe80::200:ff:fe00:16,ff02::2,ICMPv6,74,Router Solicitation from 00:00:00:00:00:16,DDOS-attack
78,15.683938,fe80::200:ff:fe00:16,ff02::2,ICMPv6,74,Router Solicitation from 00:00:00:00:00:16,DDOS-attack
79,16.385103,00:00:00_00:00:17,IPv6mcast_02,0xffff,64,Ethernet II,DDOS-attack
80,16.387205,00:00:00_00:00:17,IPv6mcast_02,0xffff,64,Ethernet II,DDOS-attack
